Serial Number,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other
2184964,HL,242,921965,ADELPHI HOTEL PARTNERS LLC RBC HOTELS LLC &,ADELPHI HOTEL MT LLC DBA: ADELPHI HOTEL,365 BROADWAY,Not Available,12866,5/29/20,5/31/22,HOTEL SERVING BEER WINE CIDER AND LIQUOR,Not Available,Licensed Patio Live/Recorded Music Dancing Permitted
2214659,AX,122,910839,BEVERLY DR 2013 INC,A & A MART,4137 W GENESEE ST,BEVERLY DR T/CAMILLUS,13219,3/15/19,2/28/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1306138,OP,252,922570,SSP AMERICA KCGI JFK T7 LLC,LE GRAND COMPTOIR,JFK INTL AIRPT TERM 7 SPCE F12,Not Available,11430,6/26/20,6/30/22,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Recorded music
3163683,RW,341,798473,CN FOOD ENTERPRISE LLC,THE CRABMAN,341 FRANKLIN ST,Not Available,14202,2/13/20,1/31/22,RESTAURANT SERVING WINE BEER AND CIDER,Recorded Music,Licensed Patio Garden/Yard
2210044,RW,341,841791,SAKURA JAPANESE CUISINE ROCKLAND INC,SAKURA JAPANESE CUISINE,22 HOLT DR,STE 105,10980,12/23/19,1/31/22,RESTAURANT SERVING WINE BEER AND CIDER,Not Available,Recorded Music
1166946,OP,252,913854,JWS ENTERPRISES INC,EASTSIDE BILLIARDS & BAR,163 165 E 86TH STREET  2ND FL,3RD &  LEXINGTON,10028,12/26/19,12/31/21,TAVERN SERVING BEER WINE CIDER AND LIQUOR,Not Available,Billiard Hall
1229272,AX,122,922950,BEST YET MARKET OF MASSAPEQUA INC,Not Available,56 01 MERRICK ROAD,WASHINGTON AVE & CARMAN MILL R,11758,12/12/19,11/30/21,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2206302,OP,252,913454,THAI THAI INC,THAI THAI BISTRO,2309 NOTT ST E,STE 307,12309,12/6/19,12/31/21,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,Not Available,Recorded Music Licensed Patio
1294112,RW,341,932898,KINTARO FOODS LLC,BESSOU,5 BLEECKER ST,Not Available,10012,8/3/20,6/30/22,RESTAURANT SERVING WINE BEER AND CIDER,CB2 Stips:  11:30am to 11:00pm Sun-Thurs and 11:00am to 11:30pm Fri - Sat,Recorded Music Permitted No Dancing and Use of Outdoor Space is Prohibited
2200525,OP,252,913256,BWP2 WEST INC,BWP2 WEST,2 WEST AVE,STE 100,12866,11/29/19,11/30/21,RESTAURANT SERVING BEER CIDER WINE & LIQUOR,City Stips: Alcohol not served after 2:00 AM,Recorded/DJ Music No Dancing Licensed Patios
1313782,AX,122,910508,DELICIOUS GOURMET FOOD MARKET CORP,Not Available,738 NOSTRAND AVE,Not Available,11216,11/30/18,10/31/21,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1256797,OP,252,911116,EL RANCHO LOS COMPADRES CORP,Not Available,110 SHERMAN AVE,DYCKMAN ST & ACADEMY ST,10034,9/23/19,9/30/21,RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,Not Available,RECRODED MUSIC
1045415,CL,243,914155,ANCIENT ORDER LAND CORP,ANCIENT ORDER OF HIBERNIANS DIV #7,65 CHAMPLIN AVE,Not Available,11730,1/9/20,2/28/22,CLUB TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Members Only
2140721,WS,308,911054,GRAPE VISIONS LLC,DUSTED VALLEY VINTNERS,1248 OLD MILTON HIGHWAY,Not Available,99362,11/30/18,12/31/21,OUT OF STATE DIRECT SHIPPER,Not Available,Not Available
1227540,AX,122,911114,JOSE A TEJADA,J S GROCERY,1145 GLENMORE AVE,SHERIDAN AVE & GLENDALE AVE,11208,12/4/18,11/30/21,GROCERY BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1302153,OP,252,912355,RSVP HOSPITALITY LLC,BAAR BAAR,11 E 1ST ST,Not Available,10003,10/29/19,10/31/21,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,CB3 Stips:11am-12am Sun12pm-12am Mon - Wed &12pm-2am Thurs - Sat; Happy Hrs until 8pm;No Sidewalk Cafe W/O Permit,Recorded Music PermittedNo Dancing & Outdoor area hrs:Interior Courtyard/Sidewalk Cafe:Close at 10pm Sun-Thurs &11pm Fri-Sat
1268395,AX,122,915179,CNCHAIN INC,QUICK STOP DELI & GRILL,19020 HILLSIDE AVE,Not Available,11423,5/3/19,4/30/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1297514,DX,126,912204,WALGREEN EASTERN CO INC,WALGREENS #16303,26 WICKS RD,Not Available,11717,12/26/18,1/31/22,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1230904,AX,122,912402,L MO'S MARKET INC,Not Available,51 MORGAN AVE,GRATTAN ST & HARRISON PL,11237,1/3/19,12/31/21,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1101207,OP,252,914832,H.E.C. ENTERPRISES INC,JULIUS,159 W 10TH ST,W 10TH STREET,10014,1/31/20,2/28/22,TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Not Available
1258935,OP,252,913698,AKCAFE OF NEW YORK LLC,BABYLON,208 E 34TH ST,Not Available,10016,12/18/19,12/31/21,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Lounge Hookah Bar - No Music
1325408,OP,252,896078,C BAR LOUNGE & RESTAURANT INC,Not Available,120-31 83RD AVE,Not Available,11415,7/23/20,6/30/22,TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Recorded music
2216381,A,128,915763,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #14201,4989 S CATHERINE ST,Not Available,12901,6/6/19,5/31/22,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
1017123,OP,252,916178,ALBONA RESTAURANT CORP,DARIO'S RESTAURANT,13 NORTH VILLAGE AVE,Not Available,11570,3/11/20,3/31/22,RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,Not Available,Not Available
1295016,DD,207,919667,MOTO SPIRITS LLC,VRW DISTILLERS,5 CENTRAL AVE,SUITE 10,11206,7/11/19,7/31/22,FARM DISTILLERY,Not Available,Not Available
1277043,OP,252,916254,JS RESTAURANT CORP,CARIDAD RESTAURANT,135 45 W KINGSBRIDGE RD,Not Available,10468,3/12/20,3/31/22,RESTAURANT SERVING BEER WINE CIDER & LIQUOR,Not Available,Not Available
1047788,OP,252,915201,HELLENIC CABINS & SNACK BAR INC,HELLENIC SNACK BAR & RESTAURANT,5145 MAIN RD,Not Available,11939,2/10/20,3/31/22,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Not Available
2200667,TW,344,921280,SUPERIOR MERCHANDISE OF TROY LLC,SUPERIOR MERCHANDISE COMPANY,147 4TH ST,Not Available,12180,9/23/19,9/30/21,TAVERN SERVING BEER CIDER AND WINE,Not Available,Recorded Music Licensed Patio
2128072,OP,252,912873,A & M CUCINA RESTAURANT CORP,LA VERA CUCINA,43 HILLSIDE TERRACE,Not Available,10950,11/19/19,11/30/21,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
1258609,OP,252,923500,ELDRIDGE BISTRO LLC,THE WAYLAND,700 E 9TH ST,Not Available,10009,9/22/20,1/31/22,TAVERN SERVING BEER WINE CIDER & LIQUOR,FB Stips:  12:30am Closing Daily recorded background music only,NO PROMOTED EVENTS OR ANY EVENT WITH A COVER FEE
1293610,OP,252,922956,ASAHI SAKE INCORPORATED,ASAHI SUSHI AND HIBACHI,161 UNION AVE,Not Available,11563,7/13/20,7/31/22,RESTAURANT SERVING LIQUOR WINE BEER & CIDER,Not Available,Recorded Music
2191258,HL,242,909846,ARROW PARK INC,Not Available,1061 ORANGE TPKE,Not Available,10950,9/4/19,9/30/21,HOTEL SERVING BEER WINE CIDER AND LIQUOR,Not Available,Hotel Grounds Dance in Pavilion Live and Recorded Music
1307324,OP,252,913732,PANKA GRILL LLC,Not Available,112 WILLETT AVE,A/K/A 116 N MAIN ST REAR,10573,12/20/19,12/31/21,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Juke Box
1023241,EL,251,915825,THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT,MANAGEMENT CORP DBA: PLYMOUTH THEATRE,236 W 45TH STREET,Not Available,10036,2/28/20,2/28/22,TAVERN SERVING LIQUOR WINE CIDER AND BEER,Not Available,Stage shows Concession Stand
1301945,OP,252,913052,OTHER EPSTEIN GROUP LLC THE,PHIL'S,695 KNICKERBOCKER AVE,Not Available,11221,11/22/19,12/31/21,BAR/TAVERN SERVING BEER CIDER WINE & LIQUOR,Not Available,Licensed Backyard Recorded/DJ Music
2188539,WS,308,911140,BEL VINO LLC,BEL VINO,33515 RANCHO CALIFORNIA RD,Not Available,92591,12/5/18,12/31/21,Not Available,Not Available,Not Available
1269867,AX,122,915472,ADEN CITY CORP,Not Available,926 NOSTRAND AVE,Not Available,11225,5/13/19,5/31/22,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
1311368,AX,128,883369,CUMBERLAND FARMS INC,CUMBERLAND FARMS # 1698,2201 NEW HYDE PARK RD,Not Available,11040,9/27/18,9/30/21,CONVENIENCE STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1291602,AX,122,913074,136 N WELLWOOD AVE GAS INC,Not Available,136 N WELLWOOD AVE,Not Available,11757,2/1/19,2/28/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2212778,TW,344,932403,CAPTAINS HAVEN LLC,Not Available,7512 W MURRAY DR,Not Available,13039,7/7/20,7/31/22,BAR/TAVERN SERVING WINE BEER AND CIDER,Not Available,licensed outdoor patio
1293338,L,222,919285,IJ LIQUOR STORE INC,DEMA LIQUORS,1370 RTE 25A,THREE VILLAGE SHOPPING CENTER,11733,6/25/19,6/30/22,LIQUOR STORE SELLING LIQUOR AND WINE,Not Available,Not Available
3164118,RW,341,798445,LY DUMPLING HOUSE INC,DUMPLING HOUSE,410 JEFFERSON RD,Not Available,14623,6/15/20,5/31/22,RESTAURANT SERVING WINE BEER AND CIDER,Recorded Music,Not Available
1293434,AX,122,919352,SAMMY MINI MART INC,Not Available,112 AUDUBON AVE,Not Available,10032,6/27/19,5/31/22,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
1272162,OP,252,912325,CABAA PIZZA LLC,Not Available,272 SUNRISE HWY,Not Available,11570,10/28/19,10/31/21,RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,Not Available,RECORDED MUSIC PERMITTED NO DANCING
2603564,DX,126,909345,KPH HEALTHCARE SERVICES INC,KINNEY DRUGS #43,21 E GENESEE ST,Not Available,13027,10/25/18,12/31/21,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2201634,AX,128,910378,SPEEDWAY LLC,SPEEDWAY #07747,4803 W TAFT RD,Not Available,13088,11/29/18,1/31/22,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1290925,AX,122,912828,YAFI FRIED CHICKEN DELI & GROCERY CORP,Not Available,408 E 138TH ST,Not Available,10454,1/25/19,1/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1272374,OP,252,911905,ABZUN ROQUE INC,MAYA RIVIERA,518 N STATE RD,Not Available,10510,10/15/19,10/31/21,RESTUARANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Not Available
1301851,OP,252,922967,GIOVANNI ITALIAN RESTAURANT LLC,Not Available,192 AVENUE U,Not Available,11223,7/13/20,7/31/22,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,Not Available,Recorded Music only
1295412,OP,252,924118,JR EL MARIACHI INC,JR EL MARIACHI,187 191 FLANDERS RD,Not Available,11901,7/17/20,7/31/22,RESTAURANT SERVING BEERCIDERWINE AND LIQUOR,Not Available,Recorded music DJ Patron dancing
2112508,OP,252,912825,VALASTRO LLC,ADIRONDACK BAR & GRILL,982 STATE ROUTE 149,Not Available,12804,11/18/19,12/31/21,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,outdoor patio/deck
2607651,CL,243,916277,MAINE LEGION HOLDING CORP INC,Not Available,2419 NYS RTE 26,LEWIS ST & DAUGHTERY RD,13802,3/12/20,2/28/22,CLUB TAVERN SERVING BEER WINE CIDER & LIQUOR,Not Available,Not Available
3140224,AX,128,910005,WAL-MART STORES EAST LP,WAL-MART SUPERCENTER #2159,1869 PLAZA DR,Not Available,14760,11/8/18,12/31/21,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,7 DAYS  8AM-11 PM,Not Available
1255845,OP,252,915482,PARISH HALL LLC,EGG,109A N 3RD ST,Not Available,11211,2/19/20,2/28/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,RECORDED MUSIC PERMITTED NO DANCING
1289161,L,222,907659,NEW VILLAGE LIQUOR AND WINE CORP,Not Available,60-71 FRESH POND RD,Not Available,11378,8/17/18,10/31/21,LIQUOR STORE SELLING WINE AND LIQUOR,Not Available,Not Available
2005488,OP,252,911872,BARDAVON 1869 OPERA HOUSE INC AND UPAC MANAGER LLC,Not Available,35 MARKET STREET,Not Available,12601,10/15/19,10/31/21,TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Not Available
2216046,A,128,915700,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #16000,7754 STATE RTE 104,Not Available,13126,5/30/19,4/30/22,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
1266641,L,222,912470,RODSE WINES & LIQUORS CORP,Not Available,1601 1603 BUSHWICK AVE,Not Available,11207,1/9/19,1/31/22,LIQUOR STORE SELLING LIQUOR AND WINE,Not Available,Not Available
1293498,A,122,914252,SAN ANTONIO MINI MARKET CORP,Not Available,79 4TH ST,Not Available,10801,3/22/19,3/31/22,GROCERY STORE SELLING BEER & CIDER,Not Available,Not Available
1303074,OP,252,913757,KAMA HOOKAH LLC,HOUSE OF HOOKAH,39-07 BELL BLVD,Not Available,11361,12/20/19,12/31/21,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,CB11 Stips:  11am-4am Daily,CB11 Stips:  Recorded Music. 70 persons maximum. Hookah.
1191049,OP,252,912299,NNM BAR RESTAURANT INC,Not Available,7 E CLARKE PL,Not Available,10452,10/25/19,10/31/21,RESTAURANT SERVING LIQUOR CIDER WINE BEER & CIDER,Not Available,Not Available
2218768,OP,252,910896,LIMERICK SV LLC,1840 TAVERN,1 STRAWTOWN RD,Not Available,10994,3/16/20,2/28/22,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,License Patio recording and live music
2203221,RW,341,842233,REDNECK BISTRO LLC,REDNECK BISTRO,2302 SARANAC AVE,Not Available,12946,4/28/20,4/30/22,RESTAURANT SERVING BEER CIDER AND WINE,Not Available,Live and Recorded music
2211938,OP,252,917412,BREWERTON PIER LLC,THE PIER,11 DOCKSIDE DR,Not Available,13036,5/1/20,5/31/22,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,Recorded/DJ/Live Music with Patron Dancing,Licensed Patio/Deck
1291150,OP,252,915275,FLYING PIG CAFE LLC,Not Available,825 RTE 25A,Not Available,11764,2/11/20,1/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Recorded Music
1266604,RW,341,841490,KHANG RI ASIAN FOOD INC,JEWEL OF HIMALAYA,34 TRIANGLE CENTER,Not Available,10598,11/7/19,11/30/21,RESTAURANT SERVING BEER CIDER AND WINE,Not Available,Recorded Music - No Dancing
3151493,OP,252,917437,DAFFIE'S PIZZA AND TAVERN INC,DAFFIE'S PIZZA AND TAVERN,26 NORTH ST,Not Available,14423,5/1/20,5/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Licensed deck
1275588,OP,252,917459,GRAN PARADISO RESTAURANT INC,Not Available,4335 AUSTIN BLVD,Not Available,11558,5/4/20,4/30/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Recorded Music
1301709,CT,246,911705,LE CHATEAU LLC,LE CHATEAU,1410 RTE 35,Not Available,10590,10/9/19,10/31/21,CATERING FACILITY SERVING BEER WINE CIDER AND LIQUOR,Not Available,Recorded/DJ/Live music
2185560,WS,308,909771,WINSIDE USA INC,THE DONUM ESTATE,1160 HOPPER AVE,Not Available,95403,11/2/18,12/31/21,Not Available,Not Available,Not Available
1291577,TW,344,924946,OAXACA GREENWICH LLC,OAXACA TAQUERIA,48 GREENWICH AVE,Not Available,10011,2/28/20,2/28/22,BAR/TAVERN SERVING WINE CIDER AND BEER,CB Stips: Sun 12pm-11pm Mon - Thurs 11am-12am & Fri-Sat 12pm-1am,Recorded Music Permitted No Dancing and Use of Outdoor areas are prohibited
2503696,OP,252,915784,THE GOOD LIFE TAVERN INC,THE GOOD LIFE TAVERN,69 MAIN ST,Not Available,13316,2/27/20,2/28/22,TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Not Available
2193908,RW,341,841731,T AND M RESTAURANT INC,SUSHI MAKIO,1088 MORTON BLVD,STORE #3,12401,12/9/19,12/31/21,RESTAURANT SERVING BEER CIDER AND WINE,Not Available,Recorded Music
1256023,OP,252,911223,SOGNO ITALIANO RISTORANTE INC,IL SOGNO,26 JEFFERSON BLVD,Not Available,10312,9/24/19,9/30/21,RESTAURANT SERVE LIQUOR WINE BEER AND CIDER,Not Available,Recorded Music No Dancing Outdoor Cafe Food Served
1259654,HL,242,921532,PARK SOUTH HOTEL LLC,O YA / COVINA / ROOF @ PARK SOUTH,120 24 E 28TH ST,Not Available,10016,5/6/20,5/31/22,HOTEL AND ROOFTOP SERVING  BEER WINE CIDER AND LIQUOR,Rooftop close Sun - Wed 11pm Thurs - Sat 1am - Ambient Music,Not Available
1237991,OP,252,922534,151 BLEECKER LLC,RED LION,151 153 BLEECKER ST,THOMPSON ST & LAGUARDIA PL,10012,6/25/20,6/30/22,RESTAURANT SERVING LIQUOR WINE BEER & CIDER,Not Available,Not Available
1265041,RW,341,841301,SAO MAI VIETNAMESE CUISINE INC,Not Available,203 1ST AVE,Not Available,10003,10/17/19,10/31/21,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Monday - Sunday 11:00 A.M. - 11:00 P.M.,Ambient Background Music Only - No Cover Charge Allowed
3160033,OP,252,913416,BROCK'S BOWL & PIZZERIA INC,BROCK'S BOWL & PIZZERIA,201 BROWN ST EXT,Not Available,14527,12/5/19,12/31/21,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,bowling alley,Recorded/DJ/Jukebox/Karaoke/Live Music Patron Dancing
1302690,OP,252,889371,AIN JUPITER LLC,LA SIRENE UWS,416 AMSTERDAM AVE,Not Available,10024,9/30/19,9/30/21,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Recorded Music Licensed Sidewalk cafe
1316700,OP,252,927845,722 MULLIGANS RESTAURANT INC,MULLIGANS,722 FULTON AVE,Not Available,11550,11/25/20,12/31/21,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,Su-W Close 12am Th-Sa Close 2am,Licensed Patio;  Dancing Recorded/Live/DJ/Karaoke music; No Promoter
3164280,OP,252,923987,PEACEMAKER BREWING COMPANY LLC,Not Available,39 COACH ST,Not Available,14424,7/8/20,6/30/22,BAR/TAVERN SERVING LIQUOR WINE BEER & CIDER,Not Available,Live & Recorded Music; Licensed Patio & Yard
2187111,AX,122,914708,PERRY'S BEVERAGE CENTER INC,PERRYS PLACE CONVENIENCE STORE & BOTTLE REDEMPTION,7211 STATE HWY 68,Not Available,13669,4/18/19,4/30/22,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
3145103,AX,122,913263,KISHORE INC,SPICE BAZAAR,3311 SHERIDAN DR,Not Available,14226,2/13/19,2/28/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2502950,HL,242,909791,LAKE MEADOWS INC,THE BREWSTER INN,6 LEDYARD AVE,Not Available,13035,9/3/19,10/31/21,HOTEL RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
3162520,AX,122,915790,BRONX MARKET INC,BRONX MARKET,594 BROWN ST,Not Available,14611,6/17/19,5/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1294567,OP,252,922971,VERITAS RESTAURANT INC,VINNIE'S MULBERRY STREET,42 W MAIN ST,Not Available,11730,7/13/20,7/31/22,RESTAURANT SERVING BEER WINE CIDER & LIQUOR,Not Available,Recorded Music
3151546,OP,252,917365,DMC MARKET LLC,CURE,50 PUBLIC MARKET,Not Available,14609,4/29/20,4/30/22,Not Available,Not Available,Not Available
1289888,OP,252,913220,BAR BELLE LLC,HENRIETTA HUDSON,438 440 HUDSON ST,Not Available,10014,11/27/19,12/31/21,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,CB2 Stips: Sun 2pm to 2am Mon - Tues 5pm to 2am & Wed - Sat 4pm to 4am,Recorded and DJ Music Permitted No Dancing & No Sidewalk Cafe Permitted
2215978,AX,122,917648,MH MOBIL 300 INC,Not Available,1423 RTE 300,Not Available,12550,7/31/19,6/30/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2201441,OP,252,913456,GANIO & SMITH INC,A TAVOLA TRATTORIA,46 MAIN ST,Not Available,12561,12/6/19,12/31/21,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Recorded Music
2209352,OP,252,912022,SAN CRISTOBAL RESTAURANT INC,Not Available,52 COTTAGE ST,Not Available,10940,10/18/19,10/31/21,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
1273561,OP,252,911758,LEMONLEAF THAI RESTAURANT MINEOLA CORPORATION,Not Available,197 MINEOLA BLVD,Not Available,11501,10/10/19,10/31/21,RESTAURANT SERVING LIQUOR BEER CIDER AND WINE,Not Available,Not Available
1273358,OP,252,917353,L C P BAR CORP,ACAPULCO BAR & RESTAURANT,43-20 31ST AVE,Not Available,11103,4/28/20,4/30/22,RESTAURANT SPORTS/BAR SERVING LIQUOR WINE CIDER AND BEER,Not Available,LIVE AND RECORDED MUSIC PERMITTED DANCING PERMITTED
1294617,AX,122,918215,ROCKY POINT HPFS INC,HANDY PANTRY,684 RTE 25A,Not Available,11778,5/21/19,6/30/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1260730,OP,252,924197,TNN ENTERPRISES LLC,TIR NA NOG 39TH STREET,315 W 39TH ST,Not Available,10018,7/21/20,6/30/22,BAR TAVERN SERVING BEER WINE AND LIQUOR CIDER,Not Available,Live and Recorded Music Security for weekend events
2216396,A,128,915764,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #11550,6804 MCALPINE ST,Not Available,13368,6/6/19,5/31/22,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
3013481,CL,243,910132,DANBY PIRATES CLUB INC,Not Available,FISHER SETTLEMENT RD,T/O DANBY,14850,9/12/19,9/30/21,CLUB TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,MEMBERS ONLY CLUB
2217593,OP,252,897254,SABROSO MEXICAN RESTAURANT INC,Not Available,72 MAIN STREET,Not Available,12566,2/6/20,1/31/22,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,Live Music,Not Available
1142395,AX,122,907782,NORTHSHORE MARKET PLACE LTD,NORTH SHORE FARMS,770 PORT WASHINGTON BLVD,BOGART AVE & BAR BEACH RD,11050,8/24/18,9/30/21,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1274828,OP,252,916387,BLACKSTONE KARAPANOS LLC,ARCHIES BAR & PIZZA,128 CENTRAL AVE,Not Available,11221,3/16/20,3/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
1048342,RW,341,840772,GRAND V BROTHERS INC,BONO'S PIZZA,1397 BRENTWOOD ROAD,Not Available,11706,8/19/19,9/30/21,RESTAURANT SERVING BEER CIDER AND WINE,Not Available,Not Available
2209527,AX,128,909500,7 ELEVEN INC,SUNOCO A PLUS #40184H,200 N STATE ST,Not Available,13203,10/26/18,10/31/21,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
2209445,AX,128,909508,7 ELEVEN INC,SUNOCO A PLUS #40085H,771 RTE 17M,Not Available,10950,10/26/18,10/31/21,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1239959,OP,252,924408,CHARLEY GROUP LLC,THE BLIND BARBER,339 E 10TH STREET,AVES A & B,10009,7/27/20,5/31/22,TAVERN SERVING BEER WINE CIDER AND LIQUOR,11:00AM to 2:00AM Sun Mon Tues & 11:0AM to 4:00AM Wed Thurs Fri & Sat,No Loud Music
3160266,DX,126,916483,WALGREEN EASTERN CO INC,WALGREENS #19717,2841 NICHOLS ST,Not Available,14559,10/2/19,1/31/22,DRUG STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
2130225,WS,308,910088,TREASURY WINE ESTATES AMERICAS COMPANY,ETUDE WINES,1250 CUTTINGS WHARF ROAD,Not Available,94559,11/13/18,12/31/21,OUT OF STATE DIRECT SHIPPER,Not Available,Not Available
1278691,OP,252,925520,145 ATLANTIC LLC,LUZZO'S BK,145 ATLANTIC AVE,Not Available,11201,8/27/20,6/30/22,RESTAURNT SERVING LIQUOR WINE BEER & CIDER,Licensed Backyard,RECORDED MUSIC PERMITTED NO DANCING
2211380,OP,252,917223,STEWART HOUSE HOSPITALITY LLC,THE STEWART HOUSE,2 2ND ST,Not Available,12015,4/21/20,4/30/22,RESTAURANT SERVING BEER WINE CIDER & LIQUOR,Not Available,Recorded/DJ/Live Music
2183924,OP,252,916263,GGS ENTERPRISES LLC,BUD'S PLACE,9556 STATE HGWY 7,SUITE 4,12197,3/12/20,4/30/22,TAVERN SERVING BEER WINE CIDER AND LIQUOR,Not Available,Deck Recorded Music Dancing
1331110,AX,128,935151,BOLLA OPERATING CORP,BOLLA 137-21 LIBERTY AVE C-STORE,137-21 LIBERTY AVE,Not Available,11435,11/9/20,10/31/21,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1294348,AX,122,918307,TRISHA FOOD INC,GOLDSWORD,156 18 45TH AVE,Not Available,11355,5/24/19,5/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1258824,RW,341,841511,SNV NY INC,BURGER VILLAGE,222 7TH AVE,Not Available,11215,11/12/19,11/30/21,RESTAURANT SERVING BEER CIDER AND WINE,Not Available,RECORDED MUSIC NO DANCING
2193540,RW,341,841836,PRICE CHOPPER OPERATING CO INC,PRICE CHOPPER #138,873 NEW LOUDON RD,Not Available,12110,1/6/20,2/28/22,RESTAURANT SERVING BEER CIDER AND WINE,Not Available,Patio; Live and Recorded Music;
1306329,OP,252,914579,LEGENDARY RESTAURANT LLC,BARITO,201 MAIN ST,2ND FL,11777,1/27/20,1/31/22,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,Not Available,Recorded Music Live Music: Acoustic and Bands
2009963,A,122,915056,KAM PAN LAM,K P FOOD MART,27 NORTH MAIN STREET,Not Available,10965,4/30/19,6/30/22,GROCERY STORE SELLING BEER & CIDER.,Not Available,Not Available
