Serial Number,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other
1053133,OP,252,922892,TOZZER LTD,NIAGRA,112 AVENUE A,Not Available,10009,7/8/20,5/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
1225542,RW,341,841402,SOHO SUSHI INC,Not Available,231 SULLIVAN STREET,SULLIVAN ST BTW THOMPSON AN,10012,10/29/19,10/31/21,RESTAURANT SERVING WINE CIDER & BEER ONLY,CB2 Stip: 11:30 AM - 11Pm Sun - Thurs 11:30 am-12am Fri & Sat,All doors & windows closed by 10pm daily recorded music only NO Dancing DJ's Live music Promoted Events or Private Parties permitted
2009262,RL,241,909801,OLD ARCH INCTHE,ARCH RESTAURANT,1292 ROUTE 22,Not Available,10509,9/3/19,9/30/21,RESTAURANT SERVING BEER CIDER WINE & LIQUOR,Not Available,Not Available
1271727,OP,252,913142,FOGO DE CHAO 53RD STREET NEW YORK LLC,FOGO DE CHAO,40 W 53RD ST,Not Available,10019,11/25/19,11/30/21,RESTAURANT SERVING BEER CIDER & WINE & LIQUOR,Not Available,No Outdoor Areas Permitted
1304443,CM,110,795605,OLD SPIRIT DISTILLERY INC,Not Available,3670 6 W OCEANSIDE RD,Not Available,11572,10/26/18,9/30/21,COMBINED CRAFT MANUFACTURER,Farm Distiller: Serial #1304441,Distiller Class B-1 Serial #1304442
2211900,CM,110,795639,LITTLE APPLE CIDERY INC,Not Available,192 ORCHARD LN,Not Available,12529,5/1/19,5/31/22,COMBINED CRAFT MANUFACTURER,Farm Cidery Serial #2202518,MicroFarm Winery Serial #2211899
1306548,RW,341,841453,RAJ RAKHA RESTAURANT INC,BOLLYWOOD GRILL,68 WHEELER AVE,Not Available,10570,11/4/19,11/30/21,RESTAURANT SERVING WINE BEER & CIDER,Not Available,Not Available
2152469,AX,122,917657,AHMED ALSHOGA & ABDULGHANI ALSAYDI,ONE STOP CONVENIENCE,29 NORTHERN DRIVE,7TH AVENUE & 8TH AVENUE,12182,8/2/19,2/28/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
3162008,DD,207,849500,SOB DISTILLERS LLC,TUITION DISTILLING COMPANY,5310 NORTH ST,BLDG 1,14424,3/6/19,2/28/22,FARM DISTILLER,Class D,Not Available
2120102,A,122,909665,129 NEWBURGH GROCERY CORP,FOUR CORNER DELI GROCERY,266 FIRST STREET,Not Available,12550,10/26/18,12/31/21,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
1204029,OP,252,924564,BLU ON THE BAY INC,Not Available,492 BAY STREET,BAY STREET,10304,7/30/20,7/31/22,TAVERN RESTAURANT SERVING BEER WINE LIQUOR & CIDER,Not Available,DJ Music
2212926,OP,252,924341,MOUNTAIN VIEW RESTAURANT CORP,Not Available,241 STONE SCHOOL HOUSE RD,Not Available,12721,7/24/20,7/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
1305439,OP,252,913010,IRON VINE CORP,IRON VINE,992 MAIN ST,Not Available,10566,11/21/19,11/30/21,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Recorded/DJ music
2202592,WS,308,913234,FOLEY FAMILY WINES INC,THE FOUR GRACES,9675 NE FOX FARM RD,Not Available,97115,2/11/19,2/28/22,DIRECT WINE SHIPPER,Not Available,Not Available
2208813,OP,252,911157,INSIDEOUT TAVERN INC,Not Available,2208 LEMOYNE AVE,T/O SALINA,13208,9/23/19,9/30/21,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,Not Available,Licensed Patio; Recorded/Live music
2606305,OP,252,922394,BARBEQUE INTEGRATED INC,SMOKEY BONES BAR & FIRE GRILL #7583,4036 STATE ROUTE 31,Not Available,13090,6/18/20,6/30/22,RESTAURANT SERVING LIQUOR WINE & BEER CIDER,Not Available,pre-recorded music - no live entertainment
2502420,OP,252,916894,JOHN S ROMIG,SHOOTIES,504 PEARL STREET,Not Available,13601,4/1/20,4/30/22,TAVERN SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
2182880,WS,308,914565,BIGHORN CELLARS LLC,BIGHORN CELLARS,459 WALNUT ST,Not Available,94559,4/10/19,12/31/21,OUT OF STATE DIRECT SHIPPER,Not Available,Not Available
3160530,CT,246,922805,PARTY ATMOSPHERE MAINTAINERS INC,MACKY'S SHAMROCK ROOM,1634 BAILEY AVE,Not Available,14212,7/7/20,5/31/22,CATERING ESTABLISHMENT SERVING LIQUOR WINE BEER AND CIDER,Recorded/DJ/Karaoke/Live Music with Patron Dancing,Not Available
1304618,HL,242,922535,EAST WEST UNITED REALTY DEV GROUP LLC & AIMBRIDGE,HOSPITALITY LLC/COURTYARD NY QUEENS,183-15 HORACE HARDING EXPY,Not Available,11365,6/26/20,4/30/22,HOTEL SERVING LIQUOR WINE BEER & CIDER,CB 11 Stip: Outside patio closed by 9p.m. daily and no outside fire pit,Recorded Music; Licensed Patio
2602167,OP,252,917491,SACH'S TEE HOUSE III INC,SACH'S TEE HOUSE III,34 HAZEL ST,STANLEY & JANETTE,13905,5/5/20,4/30/22,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
2191875,OP,252,913077,PEACE CASTLE CORP,CASTLE ON THE DELAWARE,139 STOCKTON AVE,Not Available,13856,11/22/19,11/30/21,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Live Recorded and DJ music with dancing
1257923,OP,252,915110,DUTCH CONCORDE INC,ST MAZIE,345 GRAND ST,Not Available,11211,2/7/20,1/31/22,BAR/TAVERN SERVE LIQUOR WINE CIDER & BEER,Only Ambiant Music in Backyard,Live & recorded Music No Dancing Backyard Service Food Served.
2014106,OP,252,917418,MICHAEL A RIOS,GUGLIEMIS RESTAURANT,18 HASKELL AVE,Not Available,12801,5/1/20,5/31/22,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Not Available
